Name,Slope,Aspect,DBH,Latitude,Longitude,Elevation,Species
EFV01,25,264,1.06,44.45298333,-109.6315,1963,PSME
EFV03,30,277,0.79,44.45283333,-109.6307667,2003,PSME
EFV06,30,-9999,0.32,44.45306667,-109.6306333,2005,PSME
EFV12,25,289,-9999,44.45458333,-109.63105,1983,PSME
EFV13,15,282,0.66,44.45425,-109.6319667,1932,PSME
EFV14,25,300,0.74,44.4555,-109.6333833,1877,PSME
